,0,1,2,3,4,5,6,7,8
1,-6.76e-08,-4.11e-09,1.62e-08,2.99e-08,1.6e-07,2.19e-08,3.52e-09,1.68e-07,1.21e-08
2,-3.66e-07,-3.72e-08,5.44e-09,-1.34e-08,1.45e-07,1.11e-08,-3.57e-08,9.95e-08,1.57e-08
0,3.83e-08,4.89e-08,2.93e-09,1.68e-08,2.9e-08,3.4e-08,3.18e-08,1.18e-07,-4.49e-09
1,-3.88e-09,-4.73e-08,-8.61e-08,-5.29e-08,-6.33e-08,-1.14e-07,-5.69e-08,8.2e-09,-1.01e-07
2,7.33e-08,-2.18e-08,1.41e-08,2.17e-08,-1.98e-08,-1.51e-07,3.33e-08,-5.21e-08,-6.45e-08
0,-7.3e-08,-9.22e-08,8.51e-08,1.48e-07,-5.83e-08,5.12e-08,-7.3e-08,-1.2e-08,-6.1e-08
1,-4.99e-08,3.24e-08,1.08e-07,2.2e-07,9.57e-08,8.29e-08,1.51e-07,1.07e-07,5.81e-08
2,-3.27e-07,4.35e-08,1.62e-07,3.85e-07,8.58e-08,1.02e-07,2.49e-07,3.65e-09,7.14e-08
0,6.73e-09,3.81e-08,-3.92e-08,1.47e-08,1.69e-07,-2.53e-08,-5.23e-08,6.55e-08,-5.54e-08
1,-5.13e-08,-7.2e-08,-8.58e-08,-3.9e-08,1.26e-08,-2.16e-07,-7.48e-08,-1.64e-08,-2.94e-07
2,-5.82e-08,-2.13e-07,-1.55e-07,-1.24e-07,-7.15e-08,-1.94e-07,-1.41e-07,-8.51e-08,-3.18e-07
0,9.28e-10,-8.83e-08,-1.01e-07,-7.16e-08,-4.15e-08,-1.01e-07,-8.99e-08,-1.12e-07,-1.47e-07
1,-8.42e-08,-2.89e-08,-7.1e-08,-8.58e-09,-8.98e-08,-8.95e-08,-3.47e-08,-4.5e-08,-7.96e-08
2,-2.04e-07,-4.24e-08,-1.3e-07,-1.16e-08,-2.22e-08,-2.49e-07,-1.91e-08,1.7e-09,-6.71e-08
0,1.48e-07,1.07e-08,1.04e-07,1.59e-08,-2.3e-08,5.84e-08,5.28e-08,5.83e-07,-4.71e-08
1,-1.86e-07,-7.27e-08,-4.09e-08,-1.93e-08,-4.1e-08,-1.01e-07,-5.3e-08,-1.5e-07,-9.77e-08
2,-3.72e-07,-7.22e-08,-3.25e-08,-2.08e-08,-5.94e-08,-1.55e-07,-4.28e-08,-1.06e-07,-1.31e-07
0,3.87e-07,4.59e-08,1.19e-07,1.52e-07,1.02e-07,-5.71e-08,3e-08,-1.8e-07,-1.4e-07
1,-3.25e-07,-8.13e-08,4.79e-08,8.13e-08,-7.67e-09,-1.18e-07,8.19e-10,-1.33e-07,-1.6e-07
2,-4.39e-07,-1.62e-07,9.33e-09,6.73e-08,-8.89e-08,-1.6e-07,-4.22e-09,-1.88e-07,-2.33e-07
0,3.02e-07,5.8e-08,4.29e-07,1.03e-07,8.26e-08,2.68e-08,9.56e-08,4.61e-08,-1.72e-08
1,1.79e-07,8.18e-09,1.37e-07,-4.31e-08,3.36e-08,-6.41e-08,-3.34e-08,-2.7e-08,-1.08e-07
2,2.21e-07,4.28e-08,1.72e-07,3.69e-08,5.3e-08,4.34e-08,-7.15e-09,-1.71e-09,1.64e-08
0,1.06e-07,-9.58e-09,8.66e-08,-5.4e-08,2.36e-08,-4.65e-07,-1.47e-07,-9.83e-08,-4.73e-07
1,-4.52e-08,-3.36e-08,7e-08,1.75e-08,-7.46e-08,-2.46e-09,-4.67e-08,-1.24e-07,-8.78e-08
2,-2.05e-07,-8.09e-08,1.18e-07,-1.11e-08,-1.06e-07,5.75e-08,-6.42e-08,-2.01e-07,-2.42e-08
0,-2.3e-07,8.39e-08,1.06e-07,1.46e-07,9.32e-08,4.5e-08,6.83e-08,-1.72e-07,4.07e-08
1,1.06e-07,-1.43e-08,1.08e-08,2.31e-08,3.81e-08,1.51e-08,9.59e-09,8.27e-09,-7.75e-08
2,-3.06e-08,1.61e-08,-2.05e-08,-5.34e-09,-4.71e-09,-1.5e-08,-3.13e-09,-1.08e-07,-9.59e-08
0,9.11e-08,5.55e-08,1.25e-07,9.31e-08,1.68e-07,2.13e-07,4.69e-08,3.06e-07,1.67e-08
1,-2.52e-08,-9.74e-08,-8.66e-08,-7.51e-08,-1.35e-07,-7.71e-08,-8.42e-08,-6.77e-08,-2.01e-07
2,1.52e-08,-4.88e-08,-9.62e-08,-7.88e-08,-2.27e-07,-7.45e-08,-7.71e-08,-1.82e-07,-9.1e-08
