,0,1,2,3,4,5,6,7,8
0,-0.0018,-0.0014,-0.0014,-0.0016,-0.0016,-0.0017,-0.0011,-0.0011,-0.0018
1,-0.0036,-0.0018,-0.0016,-0.0015,-0.0016,-0.0034,-0.0011,-0.0021,-0.0021
2,-0.0035,-0.0018,-0.0015,-0.0015,-0.0013,-0.0033,-0.001,-0.0022,-0.0022
0,-0.0057,-0.0011,-0.000944,-0.000941,-0.000852,-0.0019,-0.000817,-0.0047,-0.0014
1,-0.0029,-0.001,-0.000806,-0.000517,-0.000742,-0.0015,-0.000759,-0.0035,-0.000868
2,-0.0028,-0.0011,-0.000834,-0.000525,-0.000747,-0.0015,-0.000794,-0.0036,-0.000891
0,-0.0105,-0.0015,-0.0025,-0.0019,-0.0015,-0.0022,-0.000881,-0.0153,-0.0029
1,-0.0048,-0.001,-0.0022,-0.0022,-0.0011,-0.0019,-0.000991,-0.0141,-0.0028
2,-0.0049,-0.001,-0.0022,-0.0021,-0.0011,-0.0019,-0.000988,-0.0141,-0.0028
0,-0.0046,-0.0012,-0.0057,-0.0025,-0.0013,-0.0016,-0.0012,-0.005,-0.0021
1,-0.0064,-0.0011,-0.0047,-0.002,-0.0015,-0.0015,-0.0015,-0.0045,-0.0017
2,-0.0064,-0.0011,-0.0047,-0.0021,-0.0015,-0.0017,-0.0016,-0.0024,-0.0017
0,-0.004,-0.0011,-0.0049,-0.0017,-0.0017,-0.0044,-0.0017,-0.0038,-0.0049
1,-0.0048,-0.0014,-0.0032,-0.0014,-0.0016,-0.0044,-0.0017,-0.0027,-0.0056
2,-0.0047,-0.0013,-0.0032,-0.0014,-0.0014,-0.0045,-0.0017,-0.0027,-0.0056
0,-0.0066,-0.0015,-0.000962,-0.0014,-0.0011,-0.001,-0.000892,-0.0064,-0.0012
1,-0.0036,-0.0012,-0.0017,-0.0017,-0.0016,-0.0013,-0.001,-0.0061,-0.0011
2,-0.0035,-0.0012,-0.0016,-0.0016,-0.0015,-0.0012,-0.001,-0.006,-0.0011
0,-0.0033,-0.002,-0.0018,-0.0016,-0.0018,-0.0046,-0.0018,-0.0024,-0.003
1,-0.003,-0.0021,-0.0014,-0.0014,-0.0021,-0.0041,-0.0015,-0.002,-0.0026
2,-0.0031,-0.0022,-0.0014,-0.0014,-0.0021,-0.0041,-0.0015,-0.002,-0.0027
