,0,1,2,3,4,5,6,7,8
0,-7.5e-07,3.34e-07,7.53e-07,5.76e-07,-4.83e-08,-1.07e-06,4.11e-08,3.59e-07,-8.99e-07
1,-5.31e-06,-2.79e-06,-1.86e-06,-7.89e-07,-2.73e-06,-2.12e-06,-1.1e-06,-3.09e-06,-1.43e-06
2,9.53e-07,1.25e-06,-1.44e-07,7.97e-08,1.22e-06,1.04e-06,1.71e-07,2.51e-07,5.24e-07
0,-1.42e-07,-1.85e-06,-9.24e-07,-1.48e-06,-2.93e-06,-1.67e-06,-5.61e-07,-1.09e-06,-1.25e-06
1,4.25e-07,2.22e-06,1.9e-06,2.42e-06,7.43e-07,-5.47e-08,4.86e-07,-1.23e-06,3.03e-07
2,9.23e-07,4.27e-07,2.28e-06,1.39e-06,9.62e-07,2.7e-06,2.31e-06,1.5e-06,2.31e-06
0,-3.65e-07,-1.25e-07,-9.09e-07,-1.37e-06,-9.35e-07,-6.92e-07,-4.39e-07,-1.12e-06,3.95e-07
1,-2.92e-06,-1.6e-07,-3.11e-07,3.11e-07,-7.68e-07,-1.15e-06,2.81e-07,-3.22e-06,2.57e-07
2,-1.57e-06,-4.62e-07,-9.72e-08,-2.86e-07,-4.49e-07,4.33e-07,-9.47e-07,1.14e-06,-2.5e-07
0,-1.92e-06,-1.19e-06,-1.27e-06,-9.67e-07,-7.93e-07,-6.46e-07,-9.4e-07,-6.41e-07,-1.76e-06
1,-5.55e-07,-1.23e-06,-9.63e-07,-5.92e-08,-1.18e-06,1.13e-06,-5.43e-07,-8.78e-07,1.62e-07
2,3.71e-06,4.53e-08,3.08e-07,-2.7e-07,1.92e-07,2.7e-08,1.88e-07,1.09e-06,2.14e-06
0,1.13e-07,1.04e-07,4.96e-07,-5.11e-07,2.17e-07,-5.96e-07,2.71e-07,6.87e-07,6.33e-07
1,-1.49e-06,1.58e-06,1.41e-06,1.58e-06,2.21e-06,4.12e-07,1.64e-06,1.39e-06,2.94e-06
2,-5.27e-07,-6.44e-07,-3.8e-07,-7.11e-07,-1.02e-06,-2.83e-08,-5.87e-07,-1.76e-07,-1.18e-06
